iter	RMSE
353	1565.231047
354	1564.516214
355	1563.857104
356	1563.153552
357	1561.727007
358	1561.105188
359	1560.487127
360	1559.4383
361	1558.582468
362	1557.965512
363	1557.499985
364	1556.946907
365	1556.146954
366	1555.449216
367	1554.738761
368	1553.94292
369	1552.865403
370	1552.131377
371	1550.94551
372	1550.44493
373	1549.958796
374	1549.166912
375	1548.166075
376	1547.851505
377	1547.590306
378	1546.89377
379	1546.360717
380	1545.086256
381	1544.343675
382	1543.321941
383	1543.103062
384	1541.96704
385	1540.620581
386	1539.653974
387	1539.396286
388	1538.892944
389	1538.245582
390	1537.210719
391	1537.001734
392	1536.096956
393	1535.519616
394	1535.073304
395	1534.009971
396	1533.324179
397	1532.665914
398	1531.712833
399	1530.760141
400	1529.87475
401	1528.991477
402	1527.783154
403	1526.954478
404	1525.729504
405	1524.766298
406	1524.137866
407	1523.327708
408	1522.861362
409	1522.278565
410	1521.359264
411	1520.671885
412	1519.994942
413	1519.096777
414	1518.550019
415	1518.141323
416	1517.595425
417	1516.707315
418	1515.673975
419	1515.083429
420	1513.966286
421	1513.244878
422	1512.659007
423	1511.926205
424	1511.476814
425	1510.99783
426	1510.305119
427	1509.74811
428	1509.023492
429	1508.439774
430	1507.572352
431	1507.045065
432	1506.489631
433	1505.707052
434	1504.514755
435	1503.695351
436	1502.95264
437	1502.466844
438	1501.510076
439	1500.957789
440	1500.15669
441	1499.074035
442	1497.985239
443	1497.237534
444	1496.524281
445	1495.710442
446	1494.873876
447	1494.334893
448	1493.831804
449	1492.82901
450	1492.09854
451	1491.832796
452	1491.230177
453	1491.17514
454	1490.611406
455	1490.142498
456	1489.124853
457	1488.717981
458	1487.865144
459	1487.21502
460	1486.752882
461	1486.049325
462	1485.387699
463	1484.365424
464	1483.953188
465	1483.369379
466	1482.938235
467	1482.345036
468	1481.681356
469	1480.744216
470	1479.937501
471	1479.44329
472	1478.94377
473	1478.391504
474	1477.620469
475	1477.563808
476	1477.468373
477	1477.14278
478	1476.514187
479	1475.702996
480	1474.950686
481	1474.580988
482	1474.041236
483	1473.169016
484	1472.635477
485	1472.109494
486	1471.233933
487	1470.56185
488	1470.31883
489	1470.227086
490	1469.642393
491	1469.224635
492	1468.411774
493	1467.978251
494	1467.763838
495	1467.451815
496	1466.927383
497	1466.747467
498	1466.014313
499	1465.633505
500	1465.465653
501	1465.175351
502	1464.922152
503	1464.367702
504	1463.975243
505	1463.266409
506	1462.999934
507	1462.71324
508	1462.190943
509	1461.933052
510	1461.37526
511	1461.248812
512	1460.775576
513	1460.33982
514	1459.722345
515	1459.159563
516	1458.707306
517	1458.561291
518	1457.78949
519	1457.12861
520	1456.729228
521	1456.294354
522	1455.394472
523	1454.614032
524	1454.121201
525	1453.839172
526	1453.075607
527	1452.660231
528	1452.223324
529	1451.65823
530	1451.210246
531	1450.521718
532	1450.052498
533	1449.794264
534	1449.711508
535	1449.361204
536	1448.739174
537	1448.408933
538	1447.839046
539	1447.286282
540	1446.372543
541	1445.807393
542	1445.253907
543	1444.451133
544	1444.032125
545	1443.43167
546	1443.036582
547	1442.879094
548	1442.759162
549	1442.323352
550	1442.072517
551	1441.508882
552	1440.905264
553	1440.467894
554	1439.715925
555	1439.170268
556	1438.3469
557	1437.394454
558	1436.975218
559	1436.415256
560	1435.946901
561	1435.666578
562	1435.173649
563	1434.336319
564	1434.161238
565	1433.904131
566	1433.502218
567	1432.964877
568	1432.470891
569	1432.007949
570	1431.388976
571	1430.963415
572	1430.790119
573	1430.0245
574	1429.464356
575	1428.78008
576	1428.301766
577	1427.91141
578	1427.609066
579	1427.18969
580	1426.824412
581	1426.283713
582	1425.645652
583	1425.207391
584	1424.78515
585	1424.462915
586	1424.112202
587	1423.747461
588	1423.189889
589	1422.860625
590	1422.482152
591	1421.993528
592	1421.675755
593	1421.409352
594	1420.771762
595	1420.165197
596	1419.603969
597	1418.999012
598	1418.824515
599	1418.488699
600	1418.30776
601	1417.926423
602	1417.24899
603	1417.028929
604	1416.257894
605	1416.186672
606	1415.854126
607	1415.326393
608	1414.986671
609	1414.675271
610	1414.364181
611	1413.943352
612	1413.718183
613	1413.155472
614	1412.969827
615	1412.630649
616	1412.094974
617	1411.670409
618	1411.518219
619	1411.159794
620	1410.878102
621	1410.440724
622	1409.900046
623	1409.469657
624	1408.886586
625	1408.41564
626	1407.645837
627	1407.069353
628	1406.687394
629	1406.156629
630	1405.67149
631	1405.391806
632	1405.059476
633	1404.944538
634	1404.656431
635	1404.310378
636	1403.487132
637	1402.887505
638	1402.437549
639	1402.040576
640	1401.269131
641	1400.774122
642	1400.206847
643	1399.478836
644	1399.193559
645	1398.68123
646	1398.432311
647	1397.891308
648	1397.696784
649	1397.428594
650	1397.227064
651	1396.976744
652	1396.251795
653	1395.737392
654	1395.122598
655	1394.694851
656	1394.274562
657	1393.758765
658	1393.395824
659	1392.948022
660	1392.306498
661	1391.951325
662	1391.854076
663	1391.55683
664	1391.307897
665	1391.025414
666	1390.911174
667	1390.442482
668	1390.154487
669	1389.787304
670	1389.393051
671	1389.145467
672	1388.822981
673	1388.601002
674	1388.374013
675	1388.144752
676	1387.652207
677	1387.427666
678	1387.242904
679	1386.794195
680	1386.579044
681	1385.999714
682	1385.611957
683	1385.18377
684	1384.457137
685	1383.938083
686	1383.471496
687	1383.130741
688	1382.725792
689	1382.465826
690	1382.037368
691	1381.598441
692	1381.089205
693	1380.458264
694	1380.11459
695	1379.964834
696	1379.798464
697	1379.267715
698	1378.795023
699	1378.484723
700	1378.348423
701	1377.868468
702	1377.483278
703	1377.210698
704	1377.007616
705	1376.793476
706	1376.568557
707	1375.986181
708	1375.523381
709	1375.198842
710	1374.901202
711	1374.554482
712	1374.217223
713	1373.832692
714	1373.439824
715	1373.15111
716	1373.010429
717	1372.859777
718	1372.650844
719	1372.469167
720	1372.25266
721	1372.090442
722	1371.534549
723	1371.270847
724	1371.133823
725	1370.931327
726	1370.405329
727	1370.145818
728	1369.606734
729	1369.352432
730	1368.791022
731	1368.566103
732	1368.211468
733	1367.913103
734	1367.495276
735	1366.994169
736	1366.575001
737	1366.197397
738	1365.853261
739	1365.649812
740	1365.310427
741	1364.855226
742	1364.581885
743	1364.03594
744	1363.782675
745	1363.481279
746	1363.20482
747	1363.078067
748	1362.408027
749	1362.018215
750	1361.770696
751	1361.294419
752	1360.759156
753	1360.347249
754	1360.017955
755	1359.67386
756	1359.518525
757	1359.312036
758	1359.027944
759	1358.599805
760	1358.287866
761	1357.905111
762	1357.293235
763	1356.587713
764	1356.336888
765	1356.159641
766	1355.867699
767	1355.283637
768	1354.832509
769	1354.643208
770	1354.339017
771	1354.176575
772	1353.756845
773	1353.36553
774	1353.085682
775	1352.850357
776	1352.374998
777	1352.196041
778	1351.997766
779	1351.579861
780	1351.078627
781	1350.905773
782	1350.312977
783	1349.912454
784	1349.635499
785	1349.287871
786	1349.064327
787	1348.615732
788	1348.182473
789	1347.912013
790	1347.797938
791	1347.704596
792	1347.244719
793	1346.861239
794	1346.520919
795	1346.435117
796	1346.183325
797	1346.067449
798	1345.709898
799	1345.666614
800	1345.57544
801	1345.076338
802	1344.826671
803	1344.440356
804	1344.226444
805	1344.019016
806	1343.763765
807	1343.682771
808	1343.634564
809	1343.253261
810	1342.880836
811	1342.552658
812	1342.206758
813	1342.003967
814	1341.710194
815	1340.958916
816	1340.726634
817	1340.556735
818	1340.405574
819	1340.013726
820	1339.632404
821	1339.24825
822	1339.040232
823	1338.898408
824	1338.723468
825	1338.324226
826	1337.852425
827	1337.447764
828	1337.10494
829	1336.769075
830	1336.558741
831	1336.102862
832	1335.699459
833	1335.181629
834	1335.050335
835	1334.7409
836	1334.367003
837	1333.988317
838	1333.59186
839	1333.219498
840	1332.839085
841	1332.49799
842	1331.944621
843	1331.762935
844	1331.564168
845	1331.280117
846	1331.030378
847	1330.859508
848	1330.457014
849	1330.302406
850	1330.123015
851	1329.904039
852	1329.637971
853	1329.408267
854	1329.103484
855	1328.709132
856	1328.376583
857	1328.140296
858	1327.895681
859	1327.592491
860	1327.374952
861	1327.110051
862	1326.812479
863	1326.320712
864	1326.113141
865	1325.7854
866	1325.156358
867	1324.969598
868	1324.677574
869	1324.569719
870	1324.330737
871	1324.164319
872	1323.900623
873	1323.711032
874	1323.478094
875	1323.145477
876	1322.90834
877	1322.730029
878	1322.396021
879	1322.237611
880	1322.015386
881	1321.860944
882	1321.575441
883	1321.16361
884	1320.992348
885	1320.661246
886	1320.44165
887	1320.344077
888	1319.866454
889	1319.656999
890	1319.461165
891	1319.097337
892	1318.934585
893	1318.749442
894	1318.639808
895	1318.319978
896	1318.080558
897	1317.866354
898	1317.620819
899	1317.417583
900	1317.091084
901	1316.825043
902	1316.659643
903	1316.450781
904	1316.222139
905	1315.756749
906	1315.629008
907	1315.501674
908	1315.27637
909	1314.968073
910	1314.777899
911	1314.360562
912	1313.992223
913	1313.80014
914	1313.545815
915	1313.40261
916	1313.095664
917	1312.551215
918	1312.459153
919	1311.95536
920	1311.751244
921	1311.535716
922	1311.35844
923	1311.156761
924	1310.815293
925	1310.659044
926	1310.325493
927	1309.820881
928	1309.562258
929	1309.436866
930	1308.97842
931	1308.716398
932	1308.268344
933	1307.81466
934	1307.695044
935	1307.466978
936	1307.123893
937	1306.750474
938	1306.414139
939	1306.147372
940	1305.727098
941	1305.533232
942	1305.226555
943	1305.084659
944	1304.906843
945	1304.65115
946	1304.311189
947	1304.14734
948	1303.825462
949	1303.676036
950	1303.213487
951	1302.827419
952	1302.594813
953	1302.367663
954	1302.198591
955	1302.085426
956	1301.906646
957	1301.477895
958	1301.344546
959	1301.20823
960	1300.957781
961	1300.734226
962	1300.361382
963	1300.182677
964	1299.640391
965	1299.577041
966	1299.442149
967	1299.294269
968	1299.080136
969	1298.897402
970	1298.47911
971	1298.193549
972	1298.032251
973	1297.941469
974	1297.57226
975	1297.383977
976	1297.240071
977	1297.096165
978	1296.956345
979	1296.643929
980	1296.274153
981	1296.022114
982	1295.87425
983	1295.753291
984	1295.660161
985	1295.352395
986	1295.164814
987	1294.991428
988	1294.705325
989	1294.359877
990	1293.975597
991	1293.857991
992	1293.730664
993	1293.627938
994	1293.41635
995	1293.223698
996	1293.124086
997	1292.856637
998	1292.611977
999	1292.370224
